actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK03_CON20	TASK07_CON35	18	8	33	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON36	19	8	34	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON37	8	8	35	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON38	10	8	36	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON39	1	8	37	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON40	7	8	38	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON41	0	8	39	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON45	6	8	40	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON46	20	8	41	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON47	1	8	42	cca	spearman	posneg	9
TASK03_CON20	TASK07_CON48	2	8	43	cca	spearman	posneg	9
